month,day,total_delay,,,Month,Month Average
9,17,5.71,,,,
9,18,4.64,,,,
9,19,5.12,,,,
9,20,4.14,,,,
9,21,4.89,,,,
9,22,6.09,,,,
9,23,5.58,,,,
9,24,5.37,,,,
9,25,4.12,,,,
9,26,3.02,,,,
9,27,3.85,,,,
9,28,5.22,,,,
9,29,5.96,,,,
9,30,6.28,,,,
10,1,5.63,,,,
10,2,5.03,,,,
10,3,5.47,,,,
10,4,5.04,,,,
10,5,5.12,,,,
10,6,5.14,,,,
10,7,4.27,,,,
10,8,4.61,,,,
10,9,3.7,,,,
10,10,3.44,,,,
10,11,2.65,,,,
10,12,6.09,,,,
10,13,5.33,,,,
10,14,5.61,,,,
10,15,3.47,,,,
10,16,3.55,,,,
10,17,4.78,,,,
10,18,5.14,,,,
10,19,5.11,,,,
10,20,4.82,,,,
10,21,4.77,,,,
10,22,5.14,,,,
10,23,5.58,,,,
10,24,4.59,,,,
10,25,4.2,,,,
10,26,4.35,,,,
10,27,4.82,,,,
10,28,5.36,,,,
10,29,4.64,,,,
10,30,3.51,,,,
10,31,3.35,,,,
11,1,4.75,,,,
11,2,4.89,,,,
11,3,6.66,,,,
11,4,6.6,,,,
11,5,5.55,,,,
11,6,5.55,,,,
11,7,4.69,,,,
11,8,4.74,,,,
11,9,4.65,,,,
11,10,6.39,,,,
11,11,3.28,,,,
11,12,3,,,,
11,13,4.59,,,,
11,14,4.86,,,,
11,15,2.56,,,,
11,16,5.68,,,,
11,17,6.42,,,,
11,18,6.84,,,,
11,19,6.52,,,,
11,20,5.37,,,,
11,21,4.78,,,,
11,22,6.52,,,,
11,23,7.52,,,,
11,24,6.5,,,,
11,25,5.45,,,,
11,26,3.34,,,,
11,27,3.64,,,,
11,28,4.81,,,,
11,29,4.84,,,,
11,30,3.68,,,,
12,1,2.77,,,,
12,2,3.46,,,,
12,3,5.14,,,,
12,4,5.76,,,,
12,5,5.7,,,,
12,6,5.33,,,,
12,7,6.32,,,,
12,8,6.54,,,,
12,9,4.6,,,,
12,10,5.61,,,,
12,11,4.52,,,,
12,12,5.44,,,,
12,13,4.47,,,,
12,14,4.14,,,,
12,15,6.53,,,,
12,16,4.59,,,,
12,17,4.8,,,,
12,18,5.73,,,,
12,19,7.31,,,,
12,20,4.85,,,,
12,21,6.11,,,,
12,22,6.8,,,,
12,23,7.31,,,,
12,24,9.6,,,,
12,25,9.81,,,,
12,26,5.03,,,,
12,27,5.42,,,,
12,28,4.8,,,,
12,29,5.95,,,,
12,30,6.23,,,,
12,31,6.55,,,,
