dep_state,arr_state,Average,Cumulative Average
NJ,VI,0.00,
VA,WV,0.00,
TN,VA,0.00,
NE,OR,0.00,
MO,SC,0.00,
PA,VI,0.00,
NV,VA,0.00,
AR,OH,0.00,
VA,TN,0.00,
NM,FL,0.00,
AK,UT,0.00,
CA,IA,0.00,
SD,NC,0.00,
AZ,WY,0.00,
VI,NJ,0.00,
CO,ME,0.00,
PA,AR,0.00,
IA,CA,0.00,
AR,PA,0.00,
CO,VT,0.00,
IN,LA,0.00,
VA,NV,0.00,
WY,AZ,0.00,
TX,VI,0.00,
UT,AK,0.00,
RI,OH,0.00,
SC,KY,0.00,
WA,WY,0.00,
MS,CO,0.00,
LA,IN,0.00,
VI,TX,0.00,
OH,RI,0.00,
HI,MI,0.00,
SD,CA,0.00,
SC,RI,0.00,
NJ,AK,0.00,
AK,NJ,0.00,
MA,VI,0.00,
CA,SD,0.00,
CO,MS,0.00,
FL,VT,0.00,
KY,SC,0.00,
SC,NV,0.00,
LA,KY,0.00,
WY,NY,0.00,
NV,SC,0.00,
KS,FL,0.00,
WI,OR,0.00,
OK,TN,0.00,
WY,WA,0.00,
IA,TN,0.00,
OR,WI,0.00,
VT,CO,0.00,
RI,SC,0.00,
SC,NH,0.00,
VT,FL,0.00,
OR,OH,0.00,
RI,TX,0.00,
TN,IA,0.00,
FL,KS,0.00,
VI,IL,0.00,
TX,RI,0.00,
ND,CA,0.00,
NY,WY,0.00,
OH,PR,0.00,
OH,VA,0.00,
KS,CA,0.00,
ND,GA,0.00,
LA,RI,0.00,
KY,LA,0.00,
MI,HI,0.00,
SD,NJ,0.00,
TN,NE,0.00,
TN,OK,0.00,
GA,ND,0.00,
CA,KS,0.00,
MN,PR,0.00,
MT,NY,0.00,
CA,ND,0.00,
PR,OH,0.00,
NH,SC,0.00,
AZ,VA,0.00,
MT,MI,0.00,
OH,OR,0.00,
NE,TN,0.00,
IL,VI,0.00,
TN,AR,0.00,
AR,TN,0.00,
VI,MA,0.00,
VA,AZ,0.00,
NY,MT,0.00,
PR,MN,0.00,
RI,LA,0.00,
VA,OH,0.00,
VA,CA,0.00,
MI,MT,0.00,
NJ,SD,0.00,
CA,VA,0.00,
NV,AK,0.00,
MT,MT,0.00,
WI,WI,0.00,
SC,AL,0.00,
PR,MI,0.00,
