month,day,dep_delay,,,Month,Delay Average
9,17,4.96,,,,
9,18,9.52,,,,
9,19,5.6,,,,
9,20,10.32,,,,
9,21,7.98,,,,
9,22,5.23,,,,
9,23,5.76,,,,
9,24,3.29,,,,
9,25,5.63,,,,
9,26,11.38,,,,
9,27,10.38,,,,
9,28,5.86,,,,
9,29,4.91,,,,
9,30,5.58,,,,
10,1,4.64,,,,
10,2,3.15,,,,
10,3,4.23,,,,
10,4,5.74,,,,
10,5,4.61,,,,
10,6,6.03,,,,
10,7,7.26,,,,
10,8,8.81,,,,
10,9,8.5,,,,
10,10,10.13,,,,
10,11,18.86,,,,
10,12,7.32,,,,
10,13,7.9,,,,
10,14,5.96,,,,
10,15,8.74,,,,
10,16,5.62,,,,
10,17,8.71,,,,
10,18,7.35,,,,
10,19,6.68,,,,
10,20,7.97,,,,
10,21,11.53,,,,
10,22,8.89,,,,
10,23,5.12,,,,
10,24,6.05,,,,
10,25,8.26,,,,
10,26,7.37,,,,
10,27,7.38,,,,
10,28,5.47,,,,
10,29,6.57,,,,
10,30,8.19,,,,
10,31,10.1,,,,
11,1,7.41,,,,
11,2,5.37,,,,
11,3,4,,,,
11,4,3.61,,,,
11,5,5.92,,,,
11,6,6.68,,,,
11,7,5.74,,,,
11,8,8.53,,,,
11,9,11.39,,,,
11,10,3.04,,,,
11,11,15.54,,,,
11,12,13.88,,,,
11,13,7.75,,,,
11,14,6.18,,,,
11,15,15.85,,,,
11,16,14.46,,,,
11,17,7.78,,,,
11,18,6.27,,,,
11,19,4.5,,,,
11,20,6.62,,,,
11,21,7.03,,,,
11,22,4.75,,,,
11,23,2.05,,,,
11,24,5.13,,,,
11,25,8.21,,,,
11,26,17.12,,,,
11,27,12.98,,,,
11,28,5.83,,,,
11,29,5.87,,,,
11,30,10.01,,,,
12,1,16.96,,,,
12,2,18.47,,,,
12,3,10.57,,,,
12,4,7.68,,,,
12,5,4.98,,,,
12,6,6.84,,,,
12,7,4.82,,,,
12,8,5.09,,,,
12,9,11.6,,,,
12,10,7.67,,,,
12,11,7.41,,,,
12,12,4.56,,,,
12,13,8.44,,,,
12,14,11.34,,,,
12,15,4.98,,,,
12,16,8.88,,,,
12,17,10.48,,,,
12,18,11.51,,,,
12,19,9.32,,,,
12,20,14.74,,,,
12,21,15.85,,,,
12,22,13.27,,,,
12,23,13.54,,,,
12,24,7.32,,,,
12,25,2.83,,,,
12,26,11.04,,,,
12,27,16.06,,,,
12,28,19.89,,,,
12,29,14.65,,,,
12,30,12.95,,,,
12,31,10.98,,,,
